12:08:20:975|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:09:21:002|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:10:21:029|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:11:21:082|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=4,}
12:12:21:112|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=2,}
12:13:21:141|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
12:14:21:170|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:15:21:202|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=1,2=1,}
12:16:48:975|0051-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,3=2,7=1}
12:17:49:015|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
12:18:49:046|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:19:49:078|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:20:49:108|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:21:49:137|0043-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2}
12:22:49:168|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=1,8=1}
12:23:49:196|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:24:49:227|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
12:25:49:253|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:26:49:279|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=5,}
12:27:49:308|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:28:49:336|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:29:49:363|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:30:49:396|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:31:49:428|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:32:49:458|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:33:49:490|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:34:49:519|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:35:49:552|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:36:49:582|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=5,}
12:37:49:614|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:38:49:641|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {4=2,}
12:39:49:673|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:40:49:700|0048-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1,}
12:41:49:734|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:42:49:763|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:43:49:792|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {2=2,}
12:44:49:821|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=2,}
12:45:49:855|0047-TickData: RTTDelay,DS_BOX,M2_LISTENER {3=1,4=1}
12:46:49:890|0044-TickData: RTTDelay,DS_BOX,M2_LISTENER {1=5,}
